"11","Tim Story","Action | Adventure | Sci-Fi","Ioan Gruffudd","Michael Chiklis","Chris Evans","106 mins.","5.7"
"12","Judd Apatow","Comedy | Romance","Steve Carell","Catherine Keener","Paul Rudd","116 mins.","7.2"
"13","Joss Whedon","Action | Adventure | Sci-Fi | Thriller","Nathan Fillion","Gina Torres","Chiwetel Ejiofor","119 mins.","8.0"
"14","Rian Johnson","Crime | Drama | Mystery | Thriller","Joseph Gordon-Levitt","Lukas Haas","Emilie de Ravin","110 mins.","7.4"
"15","Julian Jarrold","Comedy | Drama | Music","Chiwetel Ejiofor","Joel Edgerton","Sarah-Jane Potts","107 mins.","7.0"
"16","Garth Jennings","Adventure | Comedy | Sci-Fi","Martin Freeman","Yasiin Bey","Sam Rockwell","109 mins.","6.8"
"17","Steven Spielberg","Adventure | Sci-Fi | Thriller","Tom Cruise","Dakota Fanning","Tim Robbins","116 mins.","6.5"
"18","Peter Segal","Comedy | Crime | Sport","Adam Sandler","Burt Reynolds","Chris Rock","113 mins.","6.4"
"19","Andy Tennant","Comedy | Romance","Will Smith","Eva Mendes","Kevin James","118 mins.","6.7"
"20","Doug Liman","Action | Comedy | Crime | Romance | Thriller","Brad Pitt","Angelina Jolie","Adam Brody","120 mins.","6.5"
"21","Francis Lawrence","Drama | Fantasy | Horror | Thriller","Keanu Reeves","Rachel Weisz","Djimon Hounsou","121 mins.","6.9"
"22","Michael Bay","Action | Adventure | Sci-Fi | Thriller","Scarlett Johansson","Ewan McGregor","Djimon Hounsou","136 mins.","6.9"
"23","Roger Kumble","Comedy | Romance","Ryan Reynolds","Amy Smart","Anna Faris","96 mins.","6.2"
"24","Neil Marshall","Adventure | Horror","Shauna Macdonald","Natalie Mendoza","Alex Reid","99 mins.","7.2"
"25","James Mangold","Biography | Drama | Music | Romance","Joaquin Phoenix","Reese Witherspoon","Ginnifer Goodwin","136 mins.","7.9"
